time_ms,ref_speed,actual_speed,pwm_value
10605,50.00,48.57,57.14
10617,50.00,45.71,171.43
10628,50.00,45.71,171.43
10639,50.00,48.57,57.14
10649,50.00,45.71,171.43
10661,50.00,45.71,171.43
10672,50.00,48.57,57.14
10683,50.00,45.71,171.43
10694,50.00,45.71,171.43
10705,50.00,45.71,171.43
10717,50.00,48.57,57.14
10727,50.00,45.71,171.43
10738,50.00,45.71,171.43
10750,50.00,45.71,171.43
10761,50.00,45.71,171.43
10772,50.00,45.71,171.43
10783,50.00,48.57,57.14
10794,50.00,45.71,171.43
10806,50.00,45.71,171.43
10817,50.00,48.57,57.14
10827,50.00,45.71,171.43
10838,50.00,45.71,171.43
10850,50.00,48.57,57.14
10861,50.00,45.71,171.43
10872,50.00,45.71,171.43
10884,50.00,45.71,171.43
10894,50.00,48.57,57.14
10906,50.00,45.71,171.43
10917,50.00,45.71,171.43
10927,50.00,48.57,57.14
10939,50.00,45.71,171.43
10950,50.00,45.71,171.43
10961,50.00,45.71,171.43
10972,50.00,48.57,57.14
10984,50.00,45.71,171.43
10994,50.00,48.57,57.14
11005,50.00,45.71,171.43
11016,50.00,45.71,171.43
11028,50.00,45.71,171.43
11038,50.00,45.71,171.43
11051,50.00,45.71,171.43
11061,50.00,45.71,171.43
11073,50.00,48.57,57.14
11083,50.00,45.71,171.43
11095,50.00,45.71,171.43
11105,50.00,45.71,171.43
11117,50.00,48.57,57.14
11128,50.00,45.71,171.43
11138,50.00,45.71,171.43
11151,50.00,48.57,57.14
11162,50.00,45.71,171.43
11172,50.00,45.71,171.43
11184,50.00,48.57,57.14
11194,50.00,45.71,171.43
11205,50.00,45.71,171.43
11216,50.00,45.71,171.43
11227,50.00,48.57,57.14
11238,50.00,45.71,171.43
11250,50.00,48.57,57.14
11262,50.00,45.71,171.43
11272,50.00,45.71,171.43
11283,50.00,45.71,171.43
11294,50.00,45.71,171.43
11306,50.00,48.57,57.14
11316,50.00,45.71,171.43
11327,50.00,45.71,171.43
11338,50.00,48.57,57.14
11350,50.00,45.71,171.43
11361,50.00,48.57,57.14
11372,50.00,45.71,171.43
11383,50.00,45.71,171.43
11394,50.00,45.71,171.43
11406,50.00,45.71,171.43
11416,50.00,48.57,57.14
11427,50.00,45.71,171.43
11438,50.00,48.57,57.14
11450,50.00,45.71,171.43
11462,50.00,45.71,171.43
11472,50.00,45.71,171.43
11483,50.00,48.57,57.14
11494,50.00,45.71,171.43
11505,50.00,45.71,171.43
11517,50.00,48.57,57.14
11527,50.00,45.71,171.43
11538,50.00,45.71,171.43
11550,50.00,48.57,57.14
11562,50.00,45.71,171.43
11573,50.00,45.71,171.43
11584,50.00,48.57,57.14
11595,50.00,45.71,171.43
11605,50.00,45.71,171.43
11616,50.00,45.71,171.43
11628,50.00,48.57,57.14
11638,50.00,45.71,171.43
11651,50.00,45.71,171.43
11662,50.00,48.57,57.14
11673,50.00,45.71,171.43
11683,50.00,45.71,171.43
11694,50.00,48.57,57.14
11706,50.00,45.71,171.43
11716,50.00,45.71,171.43
11727,50.00,45.71,171.43
11739,50.00,48.57,57.14
11750,50.00,45.71,171.43
11761,50.00,48.57,57.14
11773,50.00,45.71,171.43
11783,50.00,45.71,171.43
11795,50.00,45.71,171.43
11805,50.00,48.57,57.14
11816,50.00,45.71,171.43
11828,50.00,45.71,171.43
11838,50.00,45.71,171.43
11850,50.00,45.71,171.43
11861,50.00,45.71,171.43
11873,50.00,48.57,57.14
11884,50.00,45.71,171.43
11894,50.00,45.71,171.43
11906,50.00,45.71,171.43
11916,50.00,48.57,57.14
11927,50.00,45.71,171.43
11939,50.00,45.71,171.43
11950,50.00,48.57,57.14
11961,50.00,45.71,171.43
11973,50.00,45.71,171.43
11983,50.00,48.57,57.14
11995,50.00,45.71,171.43
12006,50.00,45.71,171.43
12016,50.00,45.71,171.43
12027,50.00,48.57,57.14
12038,50.00,45.71,171.43
12050,50.00,48.57,57.14
12061,50.00,45.71,171.43
12072,50.00,45.71,171.43
12084,50.00,45.71,171.43
12095,50.00,48.57,57.14
12105,50.00,45.71,171.43
12117,50.00,45.71,171.43
12127,50.00,45.71,171.43
12139,50.00,48.57,57.14
12151,50.00,45.71,171.43
12161,50.00,48.57,57.14
12173,50.00,45.71,171.43
12183,50.00,45.71,171.43
12194,50.00,45.71,171.43
12206,50.00,48.57,57.14
12216,50.00,45.71,171.43
12228,50.00,45.71,171.43
12239,50.00,48.57,57.14
12250,50.00,45.71,171.43
12262,50.00,45.71,171.43
12272,50.00,45.71,171.43
12283,50.00,48.57,57.14
12294,50.00,45.71,171.43
12305,50.00,48.57,57.14
12317,50.00,45.71,171.43
12327,50.00,45.71,171.43
12339,50.00,45.71,171.43
12351,50.00,48.57,57.14
12362,50.00,45.71,171.43
12372,50.00,45.71,171.43
12383,50.00,48.57,57.14
12395,50.00,45.71,171.43
12405,50.00,45.71,171.43
12417,50.00,45.71,171.43
12428,50.00,48.57,57.14
12438,50.00,45.71,171.43
12450,50.00,45.71,171.43
12461,50.00,48.57,57.14
12472,50.00,45.71,171.43
12484,50.00,45.71,171.43
12495,50.00,48.57,57.14
12506,50.00,45.71,171.43
12516,50.00,45.71,171.43
12527,50.00,45.71,171.43
12539,50.00,48.57,57.14
12551,50.00,45.71,171.43
12561,50.00,48.57,57.14
12572,50.00,45.71,171.43
12583,50.00,45.71,171.43
12595,50.00,45.71,171.43
12605,50.00,48.57,57.14
12617,50.00,45.71,171.43
12627,50.00,45.71,171.43
12638,50.00,45.71,171.43
12650,50.00,45.71,171.43
12662,50.00,45.71,171.43
12672,50.00,45.71,171.43
12684,50.00,48.57,57.14
12694,50.00,45.71,171.43
12706,50.00,45.71,171.43
12717,50.00,48.57,57.14
12727,50.00,45.71,171.43
12739,50.00,45.71,171.43
12750,50.00,48.57,57.14
12761,50.00,45.71,171.43
12773,50.00,45.71,171.43
12784,50.00,45.71,171.43
12795,50.00,48.57,57.14
12805,50.00,45.71,171.43
12817,50.00,45.71,171.43
12828,50.00,48.57,57.14
12838,50.00,45.71,171.43
12850,50.00,45.71,171.43
12861,50.00,48.57,57.14
12873,50.00,45.71,171.43
12883,50.00,45.71,171.43
12894,50.00,45.71,171.43
12906,50.00,48.57,57.14
12917,50.00,45.71,171.43
12927,50.00,45.71,171.43
12938,50.00,45.71,171.43
12951,50.00,45.71,171.43
12962,50.00,45.71,171.43
12972,50.00,48.57,57.14
12984,50.00,45.71,171.43
12995,50.00,45.71,171.43
13005,50.00,45.71,171.43
13016,50.00,48.57,57.14
13028,50.00,45.71,171.43
13039,50.00,45.71,171.43
13050,50.00,45.71,171.43
13061,50.00,45.71,171.43
13073,50.00,45.71,171.43
13084,50.00,48.57,57.14
13094,50.00,45.71,171.43
13106,50.00,45.71,171.43
13117,50.00,45.71,171.43
13128,50.00,48.57,57.14
13138,50.00,45.71,171.43
13150,50.00,48.57,57.14
13162,50.00,45.71,171.43
13173,50.00,45.71,171.43
13184,50.00,45.71,171.43
13194,50.00,48.57,57.14
13206,50.00,45.71,171.43
13216,50.00,45.71,171.43
13228,50.00,45.71,171.43
13239,50.00,48.57,57.14
13251,50.00,45.71,171.43
13261,50.00,48.57,57.14
13273,50.00,45.71,171.43
13283,50.00,45.71,171.43
13294,50.00,45.71,171.43
13305,50.00,45.71,171.43
13316,50.00,48.57,57.14
13328,50.00,45.71,171.43
13338,50.00,48.57,57.14
13350,50.00,45.71,171.43
13362,50.00,45.71,171.43
13372,50.00,45.71,171.43
13384,50.00,48.57,57.14
13394,50.00,45.71,171.43
13405,50.00,45.71,171.43
13417,50.00,48.57,57.14
13427,50.00,45.71,171.43
13439,50.00,45.71,171.43
13451,50.00,48.57,57.14
13462,50.00,45.71,171.43
13473,50.00,45.71,171.43
13483,50.00,48.57,57.14
13494,50.00,45.71,171.43
13505,50.00,45.71,171.43
13517,50.00,45.71,171.43
13527,50.00,48.57,57.14
13539,50.00,45.71,171.43
13551,50.00,45.71,171.43
13562,50.00,48.57,57.14
13573,50.00,45.71,171.43
13583,50.00,45.71,171.43
13595,50.00,48.57,57.14
13606,50.00,45.71,171.43
13617,50.00,45.71,171.43
13628,50.00,45.71,171.43
13639,50.00,48.57,57.14
13649,50.00,45.71,171.43
13662,50.00,45.71,171.43
13673,50.00,48.57,57.14
13684,50.00,45.71,171.43
13695,50.00,45.71,171.43
13705,50.00,45.71,171.43
13716,50.00,48.57,57.14
13727,50.00,45.71,171.43
13738,50.00,45.71,171.43
13751,50.00,45.71,171.43
13762,50.00,45.71,171.43
13773,50.00,45.71,171.43
13783,50.00,48.57,57.14
13794,50.00,45.71,171.43
13806,50.00,45.71,171.43
13817,50.00,45.71,171.43
13827,50.00,48.57,57.14
13839,50.00,45.71,171.43
13851,50.00,48.57,57.14
13862,50.00,45.71,171.43
13873,50.00,45.71,171.43
13883,50.00,45.71,171.43
13895,50.00,48.57,57.14
13906,50.00,45.71,171.43
13916,50.00,45.71,171.43
13927,50.00,45.71,171.43
13938,50.00,48.57,57.14
13951,50.00,45.71,171.43
13961,50.00,45.71,171.43
13973,50.00,48.57,57.14
13984,50.00,45.71,171.43
13994,50.00,45.71,171.43
14005,50.00,48.57,57.14
14016,50.00,45.71,171.43
14027,50.00,45.71,171.43
14039,50.00,45.71,171.43
14050,50.00,45.71,171.43
14061,50.00,45.71,171.43
14073,50.00,45.71,171.43
14083,50.00,48.57,57.14
14095,50.00,45.71,171.43
14106,50.00,45.71,171.43
14117,50.00,48.57,57.14
14128,50.00,45.71,171.43
14139,50.00,45.71,171.43
14151,50.00,48.57,57.14
14162,50.00,45.71,171.43
14173,50.00,45.71,171.43
14183,50.00,45.71,171.43
14194,50.00,48.57,57.14
14205,50.00,45.71,171.43
14216,50.00,45.71,171.43
14227,50.00,48.57,57.14
14238,50.00,45.71,171.43
14250,50.00,45.71,171.43
14262,50.00,48.57,57.14
14272,50.00,45.71,171.43
14283,50.00,45.71,171.43
14294,50.00,45.71,171.43
14305,50.00,48.57,57.14
14317,50.00,45.71,171.43
14327,50.00,45.71,171.43
14339,50.00,48.57,57.14
14350,50.00,45.71,171.43
14361,50.00,45.71,171.43
14373,50.00,45.71,171.43
14384,50.00,48.57,57.14
14395,50.00,45.71,171.43
14405,50.00,48.57,57.14
14417,50.00,45.71,171.43
14428,50.00,45.71,171.43
14439,50.00,45.71,171.43
14451,50.00,48.57,57.14
14461,50.00,45.71,171.43
14472,50.00,45.71,171.43
14483,50.00,48.57,57.14
14494,50.00,45.71,171.43
14505,50.00,45.71,171.43
14516,50.00,45.71,171.43
14527,50.00,48.57,57.14
14538,50.00,45.71,171.43
14551,50.00,48.57,57.14
14562,50.00,45.71,171.43
14573,50.00,45.71,171.43
14583,50.00,45.71,171.43
14594,50.00,45.71,171.43
14605,50.00,48.57,57.14
14616,50.00,45.71,171.43
14627,50.00,48.57,57.14
14638,50.00,45.71,171.43
14650,50.00,45.71,171.43
14662,50.00,45.71,171.43
14672,50.00,48.57,57.14
14683,50.00,45.71,171.43
14694,50.00,45.71,171.43
14705,50.00,48.57,57.14
14717,50.00,45.71,171.43
14727,50.00,45.71,171.43
14739,50.00,48.57,57.14
14749,50.00,45.71,171.43
14761,50.00,45.71,171.43
14773,50.00,45.71,171.43
14783,50.00,48.57,57.14
14795,50.00,45.71,171.43
14805,50.00,45.71,171.43
14817,50.00,48.57,57.14
14827,50.00,45.71,171.43
14838,50.00,45.71,171.43
14850,50.00,45.71,171.43
14862,50.00,45.71,171.43
14872,50.00,45.71,171.43
14883,50.00,48.57,57.14
14894,50.00,45.71,171.43
14905,50.00,45.71,171.43
14917,50.00,48.57,57.14
14928,50.00,45.71,171.43
14938,50.00,45.71,171.43
14951,50.00,45.71,171.43
14962,50.00,45.71,171.43
14972,50.00,45.71,171.43
14983,50.00,48.57,57.14
14995,50.00,45.71,171.43
15005,50.00,48.57,57.14
15017,50.00,45.71,171.43
15028,50.00,45.71,171.43
15038,50.00,45.71,171.43
15050,50.00,48.57,57.14
15061,50.00,45.71,171.43
15073,50.00,48.57,57.14
15083,50.00,45.71,171.43
15095,50.00,45.71,171.43
15105,50.00,45.71,171.43
15116,50.00,48.57,57.14
15128,50.00,45.71,171.43
15138,50.00,45.71,171.43
15150,50.00,45.71,171.43
15161,50.00,45.71,171.43
15172,50.00,48.57,57.14
15183,50.00,45.71,171.43
15194,50.00,45.71,171.43
15205,50.00,45.71,171.43
15217,50.00,48.57,57.14
15228,50.00,45.71,171.43
15238,50.00,45.71,171.43
15251,50.00,45.71,171.43
15261,50.00,45.71,171.43
15272,50.00,48.57,57.14
15283,50.00,45.71,171.43
15294,50.00,45.71,171.43
15306,50.00,48.57,57.14
15316,50.00,45.71,171.43
15327,50.00,45.71,171.43
15338,50.00,45.71,171.43
15350,50.00,45.71,171.43
15361,50.00,45.71,171.43
15372,50.00,48.57,57.14
15383,50.00,45.71,171.43
15394,50.00,45.71,171.43
15406,50.00,48.57,57.14
15416,50.00,45.71,171.43
15428,50.00,45.71,171.43
15439,50.00,48.57,57.14
15450,50.00,45.71,171.43
15461,50.00,45.71,171.43
15473,50.00,48.57,57.14
15483,50.00,45.71,171.43
15494,50.00,45.71,171.43
15505,50.00,48.57,57.14
15517,50.00,45.71,171.43
15527,50.00,45.71,171.43
15539,50.00,45.71,171.43
15550,50.00,45.71,171.43
15561,50.00,48.57,57.14
15572,50.00,45.71,171.43
15583,50.00,45.71,171.43
15595,50.00,45.71,171.43
15605,50.00,48.57,57.14
15616,50.00,45.71,171.43
15628,50.00,45.71,171.43
15638,50.00,45.71,171.43
15651,50.00,45.71,171.43
15662,50.00,48.57,57.14
15672,50.00,45.71,171.43
15683,50.00,45.71,171.43
15694,50.00,45.71,171.43
15705,50.00,48.57,57.14
15717,50.00,45.71,171.43
15727,50.00,45.71,171.43
15739,50.00,48.57,57.14
15750,50.00,45.71,171.43
15762,50.00,45.71,171.43
15772,50.00,48.57,57.14
15783,50.00,45.71,171.43
15795,50.00,45.71,171.43
15805,50.00,48.57,57.14
15816,50.00,45.71,171.43
15827,50.00,45.71,171.43
15839,50.00,48.57,57.14
15850,50.00,45.71,171.43
15861,50.00,48.57,57.14
15873,50.00,45.71,171.43
15883,50.00,45.71,171.43
15895,50.00,48.57,57.14
15905,50.00,45.71,171.43
15916,50.00,45.71,171.43
15927,50.00,45.71,171.43
